Symbol,Target,Criteria,Strategy,TFrame,LatestQtr,StarStock,CumlRnk,Conviction,Category,Cyclical,XIRR,Remarks,MBQ,Reasoning
NIACL,278.0,XR,ATH,W,1,0.0,221.0,M,INSURANCE,NC,442.0,,XR,General insurance PSU with operational inefficiencies and intense competition.
NMDC,82.0,XY25,NTT,W,1,0.0,195.0,M,MINING,DC,507.0,,XY25/X5K,Largest iron ore producer but cyclical business and PSU governance challenges.
NTPC,,AR,ATH,,1,0.0,106.0,M,POWER,SC,,,AR/X5K,Leading power producer with stable cash flows but limited growth avenues.
OFSS,,OX40N,ATH,W,1,1.0,121.0,H,IT,NC,,,OX40N,Oracle's financial services arm with strong product suite and global presence.
OIL,,X5K,ATH,D,1,0.0,197.0,M,OIL,DC,,,X5K,
ONGC,,XR,ATH,W,1,0.0,184.0,L,OIL,DC,,,XR/X5K,PSU with exposure to volatile crude prices and limited growth prospects.
PAGEIND,50000.0,X40,ATH,D,1,1.0,55.0,X,APPARELS,DC,16.0,SD: RHS 45146,X40,Premium innerwear brand with strong market leadership and excellent financials.
PARAGMILK,273.0,AR,ATH,W,1,0.0,283.0,L,FMCG,NC,,,AR,Dairy company with limited differentiation and rising competition in the sector.
PFC,,X5K,ATH,D,1,0.0,100.0,M,FINANCE,NC,,,X5K,
PFIZER,5855.0,X40,ATH,D,1,1.0,88.0,X,PHARMA,NC,,,X40,Global pharma leader with strong R&D and robust financials in India.
PGHH,18500.0,X40,ATH,D,1,1.0,57.0,X,FMCG,NC,,,XY25/X40,Premium FMCG player with consistent margins and strong brand equity.
PIDILITIND,3202.0,X40,ATH,D,1,1.0,5.0,X,CHEMICALS,SC,10.0,,X40,Adhesives leader with a strong moat innovative products and consistent performance.
PIIND,,,ATH,,1,0.0,129.0,H,CHEMICALS,SC,,,,Leading agri-chemical player with strong R&D focus and robust export business.
PNB,90.0,XR,ATH,W,1,1.0,180.0,L,BANKS,NC,238.0,,XY25/XR/X5K,PSU bank with weak asset quality and governance challenges.
POLYCAB,,OX40N,ATH,W,1,1.0,43.0,H,CABLES,SC,,,OX40N,Market leader in cables and wires with diversification into consumer appliances.
POWERGRID,,,,,1,0.0,103.0,M,POWER,SC,,,X5K,Dominant player in power transmission with steady growth but PSU inefficiencies.
PRAJIND,,AR,ATH,W,1,0.0,227.0,M,ENGINEERING,DC,,,AR,Strong focus on biofuels and clean energy solutions with innovative product offerings.
PVRINOX,,,,,1,0.0,217.0,M,ENTERTAINMENT,DC,,,,Leading multiplex operator with strong brand but cyclical business tied to discretionary spending.
QUESS,424.0,XY24,NTT,D,1,1.0,80.0,X,MISC,NC,-33.0,,XY24,Staffing and outsourcing firm with execution challenges in a fragmented market.
RADICO,,X40N,ATH,W,1,1.0,74.0,X,MISC,NC,,,X40N,Alcoholic beverage player with strong premiumization strategy and consistent growth.
RAJESHEXPO,518.0,OX40N,NTT,W,1,0.0,268.0,L,JEWELLERY,DC,-49.0,,OX40N,Gold trading company with low margins and limited value addition.
RAJOOENG,,AR,ATH,W,1,0.0,136.0,H,MISC,NC,,,AR,
RAYMOND,,X5K,ATH,D,1,0.0,207.0,M,REALTY,DC,,,X5K,
RBLBANK,388.0,XY24,NTT,W,1,0.0,252.0,M,BANKS,NC,-48.0,,XY24,Small private bank with improving metrics but historical governance and asset quality issues.
RECLTD,446.0,XY25,NTT,D,1,,191.0,M,FINANCE,NC,,,X5K/XY25,
RELAXO,1176.0,X40N,NTT,W,1,1.0,92.0,X,FOOTWEAR,SC,-26.0,,X40N,Affordable footwear leader with consistent growth but rising input cost challenges.
RELIANCE,1952.0,XY25,BTT,D,1,1.0,21.0,X,REFINERIES,SC,67.0,,XY25/X40/X5K,Diversified conglomerate with leading positions in telecom retail and petrochemicals.
REPCOHOME,880.0,XY24,NTT,W,1,0.0,161.0,H,FINANCE,NC,-44.0,,XY24,Regional housing finance company with limited scale and rising competition.
ROSSARI,965.0,XY24,NTT,W,1,0.0,215.0,M,CHEMICALS,SC,32.0,,XY24,Specialty chemicals player with innovative products but faces scalability challenges.
ROUTE,2390.0,SR,ATH,W,1,0.0,141.0,H,IT,NC,-38.0,SD: till 2390,SR,Cloud communication provider with strong growth prospects but intense competition.
SAIL,228.0,XY24,BTT,W,1,0.0,201.0,M,STEEL,DC,-18.0,,XY24,PSU steel producer with cyclical earnings and governance challenges.
SAMMAANCAP,326.0,XY25,NTT,W,1,0.0,240.0,M,FINANCE,NC,,SD: 320,XY25/XR,Small NBFC with limited scale and high concentration risks.
SANOFI,7552.0,X40,NTT,D,1,1.0,82.0,X,PHARMA,NC,,,X40,Global pharma major with strong brand portfolio and ethical management.
SATIN,274.0,XY24,NTT,D,1,0.0,159.0,H,FINANCE,NC,-58.0,,XY24,Microfinance player with execution and asset quality concerns.
SBICARD,1075.0,XY24,NTT,W,1,0.0,130.0,H,FINANCE,NC,-1.0,,XY24,Leading credit card issuer with strong parent backing and consistent growth.
SBIETFPB,400.0,XY24,BTT,D,1,0.0,284.0,M,BANKS,NC,0.0,,XY24,ETF backed by PSU banking sector reflects the mixed performance of its constituents.
SBILIFE,,AR,ATH,D,1,0.0,52.0,H,INSURANCE,NC,,,AR,Leading life insurer with strong growth and efficient operations.
SBIN,863.0,XY25,NTT,W,1,1.0,35.0,X,BANKS,NC,93.0,,XY25/X40/X5K,Largest PSU bank with improving metrics but faces PSU inefficiencies.
SCHAEFFLER ,,AR,ATH,W,1,0.0,,H,BEARINGS,DC,,,AR,Leading auto component player with strong product portfolio and technological expertise.
SFL,1287.0,XY24,NTT,W,1,0.0,242.0,M,MISC,NC,-13.0,,XY24/OX40N,Well-managed NBFC with a strong focus on niche lending but scalability constraints.
SHAKTIPUMP,,AR,ATH,D,1,1.0,139.0,H,MISC,NC,,,AR,
SHALBY,327.0,XY24,NTT,W,1,0.0,236.0,M,HEALTHCARE,NC,-31.0,,XY24,Hospital chain with regional focus and limited differentiation in a competitive market.
SHARDACROP,,XR,ATH,D,1,0.0,239.0,M,CHEMICALS,SC,,,XR,Agrochemical player with a strong product portfolio but intense competition.
SHREECEM,,,ATH,,1,0.0,128.0,H,CEMENT,DC,,,,Premium cement player with excellent cost efficiency and strong brand.
SHRIRAMFIN,,X5K,ATH,D,1,0.0,115.0,M,FINANCE,NC,,,X5K,
SIEMENS,4125.0,AR,NTT,D,1,0.0,51.0,H,ELECTRICAL,SC,,,AR,Leader in industrial automation and infrastructure with consistent growth and innovation.
SIS,528.0,OX40N,NTT,W,1,0.0,168.0,H,MISC,NC,-28.0,,OX40N,Leading security services company with strong growth but low margins.
SONACOMS,1006.0,AR,ATH,W,1,0.0,193.0,M,AUTO,DC,-8.0,,AR,Auto component leader with innovative products but cyclical industry exposure.
SONATSOFTW,,MGC,ATH,W,1,0.0,138.0,H,IT,NC,,,MGC,IT services player with strong focus on niche verticals and excellent financial performance.
SPORTKING,948.65,AR,ATH,W,1,0.0,285.0,L,TEXTILES,DC,-68.0,,AR,Niche textile player but operates in a commoditized and cyclical industry.
SRF,2787.0,XR,ATH,W,1,0.0,127.0,H,CHEMICALS,SC,18.0,,XR,Diversified chemicals leader with strong innovation export focus and consistent growth.
STARHEALTH,761.0,XY24,NTT,W,1,0.0,173.0,H,INSURANCE,NC,-19.0,,XY24,Leading health insurer with growing market share but faces intense competition.
SUNPHARMA,,,ATH,,1,0.0,40.0,H,PHARMA,NC,,,X5K,Largest Indian pharma company with robust portfolio and global presence.
SUNTV,1092.0,OX40N,ATH,W,1,0.0,228.0,M,ENTERTAINMENT,DC,13.0,,OX40N,Regional media leader but faces challenges from digital streaming platforms.
SURYODAY,216.0,XR,NTT,W,1,0.0,166.0,H,BANKS,NC,-41.0,VB: till ATH 311,XR,Small finance bank with limited scale and rising competition in financial inclusion.
SUZLON,,,,,1,0.0,254.0,L,ELECTRICAL,SC,,,,Pioneer in wind energy but historically burdened by high debt and execution challenges.
SYMPHONY,1306.0,OX40N,NTT,W,1,1.0,205.0,M,DURABLES,DC,75.0,,OX40N,Market leader in air coolers but growth is seasonal and dependent on weather patterns.
TANLA,1300.0,AR,ATH,W,1,0.0,147.0,H,IT,NC,-37.0,,AR,Strong position in cloud communication but operates in a competitive tech space.
TASTYBITE,,XR,ATH,D,1,0.0,286.0,M,FMCG,NC,27.0,,XR,Niche packaged foods player with export focus but limited domestic penetration.
TATACOMM,,AR,,W,1,0.0,190.0,M,TELECOM,SC,,,AR,Global telecom player with improving margins but capital-intensive business.
TATACONSUM,,AR,ATH,,1,0.0,50.0,H,FMCG,NC,51.0,,AR,Diversified FMCG giant with strong brands and consistent premiumization strategy.
TATAELXSI,9161.0,OX40N,NTT,W,1,1.0,158.0,H,IT,NC,-10.0,,OX40N,Niche IT services player in design and automotive tech with excellent growth prospects.
TATAPOWER,,XR,ATH,,1,0.0,108.0,M,ELECTRICAL,SC,,,XR,Strong push in renewable energy but faces regulatory and operational challenges.
TATASTEEL,,,,,1,0.0,111.0,M,METALS,DC,,,,Global steel leader with improving cost efficiencies but cyclical exposure.
TCS,4998.0,X40,ATH,D,1,1.0,2.0,X,IT,NC,8.0,,X40/X5K,IT services giant with unparalleled scale execution capabilities and consistent growth.
TEAMLEASE,3487.0,X40N,NTT,W,1,1.0,86.0,X,MISC,NC,2.0,,X40N,Market leader in staffing solutions but operates on thin margins.
TECHM,,,,,1,0.0,110.0,M,IT,NC,,,,Diversified IT services player but lags peers in high-margin digital transformation.
TIPSINDLTD,,,,,1,0.0,,M,ENTERTAINMENT,DC,,,,Niche player in music content with rising digital monetization opportunities.
TITAGARH,1548.0,XY24,NTT,D,1,0.0,175.0,H,ENGINEERING,DC,-40.0,,XY24,Rail and infrastructure player benefiting from government capex but cyclical demand.
TITAN,4713.0,X40,ATH,D,1,1.0,15.0,X,JEWELLERY,DC,,,X40,Market leader in jewelry and watches with consistent growth and strong brand equity.
TMPV,600.0,XY24,NTT,D,1,1.0,4.0,X,AUTO,DC,-49.0,,XY24/X5K/X40N,Improving fundamentals driven by EV focus but cyclical nature of auto industry remains.
TORNTPHARM,,,ATH,,1,0.0,46.0,H,PHARMA,NC,,,,Pharma leader with focus on branded generics and strong financials.
TRIDENT,48.0,XR,NTT,W,1,0.0,223.0,M,TEXTILES,DC,-16.0,,XR,Integrated textile player with improving fundamentals but cyclical industry exposure.
TTKPRESTIG,770.0,OX40N,NTT,W,1,0.0,250.0,M,DURABLES,DC,1.0,,OX40N,Kitchen appliance leader with strong brand presence and consistent growth.
TV18BRDCST,,XR,ATH,D,1,0.0,,L,ENTERTAINMENT,DC,,,XR,Media player with fluctuating revenues and limited pricing power.
UBL,,X40N,ATH,D,1,1.0,75.0,X,FMCG,NC,,,X40N,
UJJIVANSFB,60.0,OX40N,NTT,W,1,0.0,177.0,H,BANKS,NC,-27.0,,OX40N,Similar to UJJIVAN with challenges in scaling up and sustaining profitability.
ULTRACEMCO,,X40N,ATH,,1,1.0,24.0,X,CEMENT,DC,,,X40N/X5K,Leading cement player with excellent cost efficiencies and market dominance.
UNIONBANK,163.0,XY24,NTT,W,1,1.0,114.0,M,BANKS,NC,-39.0,,XY24/X5K,PSU bank with weak asset quality but improving metrics.
UNITDSPR,1644.0,X40N,NTT,W,1,1.0,64.0,X,BREWERIES,DC,,,X40N,Market leader in premium alcoholic beverages with strong brand portfolio.
UPL,737.0,AR,NTT,W,1,0.0,200.0,M,CHEMICALS,SC,,,AR,Global agrochemical player with robust portfolio but faces debt-related concerns.
UTIAMC,1207.0,XY24,ATH,W,1,0.0,229.0,M,FINANCE,NC,96.0,,XY24,Established mutual fund player but lags private peers in growth.
V2RETAIL,,AR,ATH,D,1,0.0,287.0,H,TEXTILES,DC,,,AR,Stands out for its strong management robust business model in retail and promising future growth potential making it a solid choice in the micro-cap segment.
VAIBHAVGBL,521.0,XR,NTT,W,1,0.0,160.0,H,JEWELLERY,DC,-24.0,VB: range bound target 520,XR,Niche jewelry and lifestyle retailer with strong export focus.
VALIANTORG,838.0,XR,NTT,W,1,0.0,145.0,H,CHEMICALS,SC,-27.0,,XR,Specialty chemical player with strong margins but smaller scale.
VBL,,X40N,ATH,D,1,1.0,13.0,X,FMCG,NC,,,X40N,
VEDL,,,,,1,0.0,182.0,L,MINING,DC,,,X5K,Commodity business with cyclical earnings and corporate governance concerns.
VEEDOL,,XR,ATH,D,1,0.0,288.0,L,CHEMICALS,SC,,,XR,Mid-tier lubricant player with limited pricing power in a competitive market.
VGUARD,,XR,ATH,D,1,0.0,230.0,M,ELECTRICAL,SC,,,XR,Consumer appliances player with consistent growth but rising input costs.
VINATIORGA,1882.0,OX40N,ATH,W,1,1.0,151.0,H,CHEMICALS,SC,,,OX40N,Specialty chemical leader with high margins and export focus.
VIPIND,489.0,OX40N,NTT,W,1,0.0,246.0,M,MISC,NC,-47.0,,OX40N,Market leader in luggage with consistent growth and brand equity.
VOLTAS,1856.0,XY25,NTT,,1,1.0,79.0,X,AC,SC,,,XY25/X40/AR,Market leader in air conditioning and cooling products with robust brand equity.
WESTLIFE,,AR,ATH,W,1,0.0,243.0,M,RESTAURANTS,DC,,,AR,McDonald's franchisee in India with strong growth but operates on thin margins.
WHIRLPOOL,2270.0,XR,NTT,D,1,0.0,210.0,M,DURABLES,DC,34.0,SD: 2539,XR/OX40,Consumer appliances leader with premium positioning but rising competition.
WIPRO,420.0,XR,NTT,W,1,1.0,98.0,M,IT,NC,33.0,,XR/X5K,IT services major but lags peers in growth and margins.
WSTCSTPAPR,,XR,ATH,W,1,0.0,289.0,M,PAPER,DC,,,XR,Regional paper manufacturer with cyclical business and limited differentiation.
YESBANK,,,,,1,0.0,257.0,L,BANKS,NC,,,,Private bank with improving metrics but a history of governance and asset quality issues.
ZEEL,,,,,1,0.0,212.0,M,ENTERTAINMENT,DC,,,,Leading media player with challenges from streaming platforms and governance concerns.
ZENTEC,,AR,ATH,D,1,1.0,156.0,H,MISC,NC,,,AR,
ZYDUSLIFE,,AR,ATH,D,1,1.0,120.0,H,PHARMA,SC,,,AR,
